"","Point est.","Upper C.I."
"isolate.id.OXEC-247",0.999981010495035,0.999984971345602
"isolate.id.OXEC-248",1.00002679153518,1.00008681253056
"isolate.id.OXEC-25",1.00002170595766,1.00011142568406
"isolate.id.OXEC-250",1.00015572818991,1.00084902864737
"isolate.id.OXEC-252",1.00001715911843,1.00003777005511
"isolate.id.OXEC-256",1.00000687052839,1.00005175647408
"isolate.id.OXEC-257",1.00013877807971,1.00059510283159
"isolate.id.OXEC-260",1.00000838057471,1.00001072238934
"isolate.id.OXEC-262",1.00002564694984,1.00010488405105
"isolate.id.OXEC-263",0.999994857577066,1.00000202356685
"isolate.id.OXEC-264",1.00005161740253,1.00009519857129
"isolate.id.OXEC-265",0.99999906930703,1.00003884056925
"isolate.id.OXEC-266",1.00000879886487,1.00002888153436
"isolate.id.OXEC-267",0.999993412922887,1.00004737707207
"isolate.id.OXEC-268",1.00011600691073,1.0006531909786
"isolate.id.OXEC-272",0.999993269426676,0.999996407903999
"isolate.id.OXEC-273",1.00002327982667,1.00004262021942
"isolate.id.OXEC-274",1.00000585313732,1.00010755082051
"isolate.id.OXEC-275",1.00008607380429,1.00027779581506
"isolate.id.OXEC-276",0.999986186746503,0.999987518887979
"isolate.id.OXEC-277",0.999987079038555,0.999990180443037
"isolate.id.OXEC-279",1.00001410509991,1.0000299592778
"isolate.id.OXEC-281",1.00008906429078,1.0005044379236
"isolate.id.OXEC-282",0.999985872660572,1.00000505370182
"isolate.id.OXEC-283",0.999990408444912,1.00001033483176
"isolate.id.OXEC-284",1.00008932596115,1.00047272333813
"isolate.id.OXEC-285",1.00007976058563,1.00017800196772
"isolate.id.OXEC-286",0.999987716955651,0.999988255406352
"isolate.id.OXEC-287",1.00000448181603,1.00009466202253
"isolate.id.OXEC-288",0.99998133889594,0.999985585922098
"isolate.id.OXEC-29",1.00001403042161,1.00006826293649
"isolate.id.OXEC-292",1.00003050637131,1.00023116161437
"isolate.id.OXEC-294",0.999997535528289,1.00001371551127
"isolate.id.OXEC-295",0.999984566738118,0.999995836012363
"isolate.id.OXEC-296",1.0000187036719,1.00002090574672
"isolate.id.OXEC-299",1.0000470797024,1.00026226562134
"isolate.id.OXEC-30",0.99998413818494,0.999997108235779
"isolate.id.OXEC-301",0.999997121712873,1.00006403503161
"isolate.id.OXEC-305",1.00011549589087,1.00065209994971
"isolate.id.OXEC-307",1.00000203992391,1.00003224937972
"isolate.id.OXEC-31",0.999980740025733,0.999981315573017
"isolate.id.OXEC-310",0.99999359728418,1.00004187318177
"isolate.id.OXEC-311",1.00016014522323,1.00048728319816
"isolate.id.OXEC-313",1.00000101235518,1.00000121767438
"isolate.id.OXEC-314",1.0000078324837,1.00011483876979
"isolate.id.OXEC-316",0.999985401526866,0.999988707587092
"isolate.id.OXEC-317",1.00008386526274,1.00008910251456
"isolate.id.OXEC-32",1.00004776611243,1.0003064593439
"isolate.id.OXEC-322",1.00001130947259,1.00007126992899
"isolate.id.OXEC-324",1.00006299082978,1.00038425057
"isolate.id.OXEC-328",0.999989384852467,1.00002697423334
"isolate.id.OXEC-329",1.00023060945585,1.00072069099448
"isolate.id.OXEC-33",0.999996813362361,1.00005330385587
"isolate.id.OXEC-331",0.999995078826481,0.999997804555978
"isolate.id.OXEC-333",0.999996711308825,1.00005115071752
"isolate.id.OXEC-334",1.00002663755995,1.00007315068803
"isolate.id.OXEC-336",1.00016430977644,1.00089365471784
"isolate.id.OXEC-339",1.00002927380504,1.00010745159554
"isolate.id.OXEC-340",1.00002881803481,1.00003989572963
"isolate.id.OXEC-341",1.00005547276129,1.00035901385748
"isolate.id.OXEC-342",1.0000462917992,1.0000554852722
"isolate.id.OXEC-344",1.00000193004201,1.00008509772307
"isolate.id.OXEC-345",1.00014060282411,1.00077740452442
"isolate.id.OXEC-347",1.00001047047716,1.00011565653432
"isolate.id.OXEC-35",1.0000274466807,1.00012077005996
"isolate.id.OXEC-351",0.999995553067233,1.00003136014554
"isolate.id.OXEC-353",1.00001498356612,1.00009078723519
